hyperparameter_setting_id,bits,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,dataset
33,6,,,,,0.00533863567918731,,,,,NewFuelCar
33,7,,,,,0.00632451728298814,,,,,NewFuelCar
33,8,,,,,0.005693900119002631,,,,,NewFuelCar
34,3,,,,,0.02047886896813119,,,,,NewFuelCar
34,5,,,,,0.00764540576666031,,,,,NewFuelCar
34,6,,,,,0.00520247268039125,,,,,NewFuelCar
34,8,,,,,0.00541577337824392,,,,,NewFuelCar
35,3,,,,,0.02017099598929151,,,,,NewFuelCar
35,4,,,,,0.01056327114796687,,,,,NewFuelCar
35,5,,,,,0.00602702875580763,,,,,NewFuelCar
35,6,,,,,0.00787029774316269,,,,,NewFuelCar
35,7,,,,,0.00520930128690797,,,,,NewFuelCar
35,8,,,,,0.00795315907218309,,,,,NewFuelCar
36,3,,,,,0.021068755414729003,,,,,NewFuelCar
36,4,,,,,0.01207518111914392,,,,,NewFuelCar
36,5,,,,,0.00697235813274517,,,,,NewFuelCar
36,6,,,,,0.00756949446584794,,,,,NewFuelCar
36,7,,,,,0.00768820947462998,,,,,NewFuelCar
36,8,,,,,0.0066644532704039,,,,,NewFuelCar
37,3,,,,,0.02752786043933343,,,,,NewFuelCar
37,4,,,,,0.00976068397959396,,,,,NewFuelCar
37,5,,,,,0.00988849721064689,,,,,NewFuelCar
37,6,,,,,0.014092911552972712,,,,,NewFuelCar
37,7,,,,,0.00459477957358512,,,,,NewFuelCar
37,8,,,,,0.00584021944505682,,,,,NewFuelCar
38,3,,,,,0.025298378628008676,,,,,NewFuelCar
38,4,,,,,0.013487186702376742,,,,,NewFuelCar
38,5,,,,,0.00673730815556547,,,,,NewFuelCar
38,6,,,,,0.0061539899510853905,,,,,NewFuelCar
38,7,,,,,0.00753465541709912,,,,,NewFuelCar
38,8,,,,,0.00634067916615632,,,,,NewFuelCar
39,3,,,,,0.021109809021449093,,,,,NewFuelCar
39,4,,,,,0.01010269830452699,,,,,NewFuelCar
39,5,,,,,0.22428628058814065,,,,,NewFuelCar
39,6,,,,,0.10842819775805985,,,,,NewFuelCar
39,7,,,,,0.00699534459517479,,,,,NewFuelCar
39,8,,,,,0.00602695329304731,,,,,NewFuelCar
40,3,,,,,0.02163153290176727,,,,,NewFuelCar
40,4,,,,,0.01608610654927851,,,,,NewFuelCar
40,5,,,,,0.0063255310534466504,,,,,NewFuelCar
40,6,,,,,0.00778446252071784,,,,,NewFuelCar
40,7,,,,,0.0046797479495708,,,,,NewFuelCar
40,8,,,,,0.006453591789703001,,,,,NewFuelCar
41,3,,,,,0.02184369732184624,,,,,NewFuelCar
41,4,,,,,0.011692215995291171,,,,,NewFuelCar
41,5,,,,,0.008220337386439068,,,,,NewFuelCar
41,6,,,,,0.00859734333169298,,,,,NewFuelCar
41,7,,,,,0.00598943834611731,,,,,NewFuelCar
41,8,,,,,0.006638541666120911,,,,,NewFuelCar
42,3,,,,,0.02176072327583501,,,,,NewFuelCar
42,4,,,,,0.01002907365225577,,,,,NewFuelCar
42,6,,,,,0.00467946701877123,,,,,NewFuelCar
42,7,,,,,0.04435468422894344,,,,,NewFuelCar
42,8,,,,,0.00484777504165669,,,,,NewFuelCar
43,2,,,,,0.04593605277733056,,,,,NewFuelCar
43,3,,,,,0.0216125179400765,,,,,NewFuelCar
43,4,,,,,0.00927425382879411,,,,,NewFuelCar
43,6,,,,,0.0064970602742967605,,,,,NewFuelCar
43,7,,,,,0.0062222326542005196,,,,,NewFuelCar
43,8,,,,,0.01147573022866258,,,,,NewFuelCar
44,2,,,,,0.04569991958049824,,,,,NewFuelCar
44,3,,,,,0.02940796157835341,,,,,NewFuelCar
44,4,,,,,0.009355219005884801,,,,,NewFuelCar
44,6,,,,,0.00704947995489639,,,,,NewFuelCar
44,7,,,,,0.00530372284130155,,,,,NewFuelCar
44,8,,,,,0.017541781152198198,,,,,NewFuelCar
45,2,,,,,0.0463728382758665,,,,,NewFuelCar
45,3,,,,,0.02113067157844305,,,,,NewFuelCar
45,4,,,,,0.00956174432904568,,,,,NewFuelCar
45,6,,,,,0.00502189279742241,,,,,NewFuelCar
45,7,,,,,0.00822296362970705,,,,,NewFuelCar
45,8,,,,,0.01042601385954436,,,,,NewFuelCar
46,2,,,,,0.04425729333602802,,,,,NewFuelCar
46,3,,,,,0.02342058873833398,,,,,NewFuelCar
46,4,,,,,0.012719268845230811,,,,,NewFuelCar
46,6,,,,,0.00533984050638723,,,,,NewFuelCar
46,7,,,,,0.0069382263688582396,,,,,NewFuelCar
46,8,,,,,0.00594864482930121,,,,,NewFuelCar
47,2,,,,,0.04522050742157974,,,,,NewFuelCar
47,3,,,,,0.02336548063005397,,,,,NewFuelCar
47,4,,,,,0.008550918442319649,,,,,NewFuelCar
47,6,,,,,0.008129765585028089,,,,,NewFuelCar
47,7,,,,,0.00398235088765714,,,,,NewFuelCar
47,8,,,,,0.00524347356118241,,,,,NewFuelCar
48,2,,,,,0.05623372171008791,,,,,NewFuelCar
48,3,,,,,0.02217659960141433,,,,,NewFuelCar
48,4,,,,,0.01002505782893609,,,,,NewFuelCar
48,6,,,,,0.00555440949229111,,,,,NewFuelCar
48,7,,,,,0.00531729104920497,,,,,NewFuelCar
48,8,,,,,0.00633802875251453,,,,,NewFuelCar
49,2,,,,,0.04522927022588092,,,,,NewFuelCar
49,3,,,,,0.02034068285863384,,,,,NewFuelCar
49,4,,,,,0.00995281733441768,,,,,NewFuelCar
49,6,,,,,0.0065125082513284305,,,,,NewFuelCar
49,7,,,,,0.00505794615733937,,,,,NewFuelCar
49,8,,,,,0.0056681193294934595,,,,,NewFuelCar
50,2,,,,,0.051720478168378235,,,,,NewFuelCar
50,3,,,,,0.022957037125403652,,,,,NewFuelCar
50,4,,,,,0.01226128527012305,,,,,NewFuelCar
50,6,,,,,0.00665105232660524,,,,,NewFuelCar
50,7,,,,,0.00720675012062037,,,,,NewFuelCar
50,8,,,,,0.008190412961126239,,,,,NewFuelCar
