weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,hyperparameter_setting_id,kFold_id,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp,Train full precision,Train pre minmaxQ,Train pre quantileQ,Train SoftQ,Train Bitwise softQ,train_loss_hard_bitwise_minmax_mlp,train_loss_hard_bitwise_quantile_mlp,bits,dataset,Full precision_avg,Post minmaxQ_avg,Post quantileQ_avg,Pre minmaxQ_avg,Pre quantileQ_avg,SoftQ_avg,HardQ_avg,Bitwise softQ_avg,Bitwise hardQ_avg,Full precision_min,Post minmaxQ_min,Post quantileQ_min,Pre minmaxQ_min,Pre quantileQ_min,SoftQ_min,HardQ_min,Bitwise softQ_min,Bitwise hardQ_min,Full precision_avg_by_hyperparam,Post minmaxQ_avg_by_hyperparam,Post quantileQ_avg_by_hyperparam,Pre minmaxQ_avg_by_hyperparam,Pre quantileQ_avg_by_hyperparam,SoftQ_avg_by_hyperparam,HardQ_avg_by_hyperparam,Bitwise softQ_avg_by_hyperparam,Bitwise hardQ_avg_by_hyperparam,Full precision_min_by_hyperparam,Post minmaxQ_min_by_hyperparam,Post quantileQ_min_by_hyperparam,Pre minmaxQ_min_by_hyperparam,Pre quantileQ_min_by_hyperparam,SoftQ_min_by_hyperparam,HardQ_min_by_hyperparam,Bitwise softQ_min_by_hyperparam,Bitwise hardQ_min_by_hyperparam
0.0001,0.0001,8,64,50,0.0001,8,9,,,,,0.006555513585019,,,,,,,,,0.0053833121123413,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.001,6,1024,50,0.001,9,0,,,,,0.0048293689564033,,,,,,,,,0.0056315627104292,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,1,,,,,0.0055255029113603,,,,,,,,,0.0056993271607686,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,2,,,,,0.0085447459408131,,,,,,,,,0.0061690064208746,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,3,,,,,0.0069448625701561,,,,,,,,,0.0061227843888998,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,4,,,,,0.0059747721677188,,,,,,,,,0.0058476831716047,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,5,,,,,0.0058039482478705,,,,,,,,,0.0060048888812946,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,6,,,,,0.0066220330589107,,,,,,,,,0.0055581536841368,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,7,,,,,0.0075455109400903,,,,,,,,,0.0064718314199982,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,8,,,,,0.0051464868010953,,,,,,,,,0.0061695418927782,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.001,6,1024,50,0.001,9,9,,,,,0.0060879924608263,,,,,,,,,0.0060383556963072,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00630252240552447,,,,,,,,,0.0048293689564033,,,,
0.0001,0.0001,8,128,70,0.0001,10,0,,,,,0.0069880205525183,,,,,,,,,0.0040358994973312,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
0.0001,0.0001,8,128,70,0.0001,10,1,,,,,0.0053266898255076,,,,,,,,,0.0045232629184337,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00604875854098052,,,,,,,,,0.0046697932891874,,,,
