weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0,0.0001,8,128,50,0.001,1.142425152938813,1.18533776095137,1.188640207517892,1.2192825274541974,1.5159486741758883,1.5591884036548436,1.563253682106733,1.1369246020913124,1.141489669214934,1.1137017421424389,1.1218165224418044
0.0001,0.0001,10,128,30,0.0001,1.142513110302389,1.1835554679855704,1.189437769819051,1.2128507168963552,2.17838962841779,1.839097463525832,1.839097460731864,1.11733670393005,1.1173367011360824,5.3842305354774,5.405611399561167
0.0001,0.0001,10,64,70,0.001,1.143566133454442,1.187734039966017,1.1842288416810334,1.1534151150844991,1.2504532639868555,1.417112342081964,1.4193497425876558,1.1250711241737008,1.131856505293399,11.353676732629538,11.166867893189192
0.0,0.001,6,64,70,0.0001,1.1477383701130748,1.19562374567613,1.191239911597222,1.1978484764695168,1.2738176127895713,1.273798658978194,1.273798634763807,1.1438554520718751,1.1438547959551215,1.1896918760612607,1.6096465783193707
0.0001,0.0001,8,256,70,0.001,1.148568662349135,1.198361748829484,1.1979359635151925,1.3157313936389985,1.5662151454016566,1.540389033034444,1.5453192121349275,1.6131948931142688,1.6199086150154471,11.275103714317083,11.894769325852394
0.0001,0.001,6,512,50,0.001,1.150660574901849,1.1971239503473043,1.2003225749358537,1.215871829073876,1.3795029176399112,1.1347702015191317,1.1402052347548306,1.316580580081791,1.322307846043259,11.319736629724503,11.248583491891623
0.0001,0.0001,10,128,50,0.001,1.1510399486869574,1.1983395498245957,1.196529979351908,1.1825281088240445,1.5903602158650756,1.543480569962412,1.54566954029724,1.154839892871678,1.1606938829645514,10.717173609882593,10.934183366596699
0.0,0.0001,6,256,30,0.0001,1.1522716283798218,1.1978446221910417,1.1908137733116746,1.206657913979143,1.922501748427749,1.7092805416323245,1.7092805043794217,1.1242415164597332,1.1242422135546803,1.1495315628126264,1.1521829133853316
0.0001,0.001,10,1024,50,0.001,1.1672404585406184,1.216741826850921,1.2094197147525847,1.4417803403921423,1.5385968564078212,1.1761996084824204,1.1818317184224725,1.6140510709956288,1.6183409681543708,12.297384463250637,11.451777528971434
0.0,0.0001,10,8192,30,0.001,1.1684203771874309,1.2144238678738477,1.2028793287463486,1.437352412380278,3.2470217486843467,1.8699174840003248,1.870320756919682,1.538507635705173,1.5432323226705194,1.9551489436998963,1.430304422043264
