weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.0001,6,128,50,0.0001,692.5011386230469,732.6918305078125,697.722633125,736.1576392382813,739.4993484765625,632.5673179589844,632.6451485351563,537.877681796875,537.9732621435547
0.0001,0.0001,4,128,50,0.0001,692.6564634375,732.1009725,700.8798340625,726.8598321777343,717.3525820214844,661.4056963964844,661.4290989648438,532.3998581152343,532.4184221679687
0.0001,0.0001,3,256,70,0.0001,697.8898112792969,747.6986763867187,702.4152952734376,734.2355378320312,734.3331802246094,621.1909337011718,621.2144357519531,534.3996284667969,534.4757590966797
0.0,0.0001,3,128,50,0.001,698.6408764941406,733.0910306542969,704.0202344238281,720.57049640625,730.7569070996094,663.3896615429687,663.5903939648438,534.346548984375,534.7598461669921
0.0,0.001,3,256,50,0.0001,701.187402734375,769.8514646972657,705.9918742871093,749.145506171875,758.2464149414062,635.9760061914062,635.9795636425781,549.2906705761719,549.3721779345703
0.0,0.001,6,2048,30,0.0001,705.0474567578125,772.4657520605468,707.397685546875,762.1108116601563,761.2505250292969,655.0372112988281,655.0994782910157,582.4855498535156,582.5575297412109
0.0001,0.0001,3,128,50,0.0001,706.55397859375,738.4479131542969,709.3355568554688,727.7957615234375,723.9589630761719,677.8613888378907,677.905515078125,537.0516398583984,537.0953600537109
0.0,0.001,4,512,30,0.0001,710.4310312402343,775.4312801367188,714.3713831542968,762.0156589941406,735.7111460253906,646.6486296777343,646.6861434179688,556.2086208105469,556.2923187207032
0.0001,0.0001,4,128,30,0.0001,713.0506172363281,741.1770900097656,718.1348528125,743.6969337695313,738.3531320703125,684.1166142285156,684.1344128417969,554.077916508789,554.0924134228516
0.0,0.0001,6,128,30,0.0001,713.8391845898437,744.0871547753907,718.2888176171875,733.9153872949219,731.2702560644532,658.5076736230469,658.5184762597656,546.4528419140624,546.5305201123047
0.0,0.001,3,512,30,0.001,717.8796315625,781.3488836523437,721.7061625683593,765.1616394140625,742.5389101464843,632.7498532861329,633.3857051220704,568.8674290527343,569.3990296875
0.0001,0.001,5,512,30,0.0001,722.8059736328125,787.2462156933594,722.3990425488281,781.4602046289062,756.6351728222656,648.6470546484375,648.7432712597656,564.9945279541016,565.0512622607422
0.0001,0.001,3,512,30,0.001,722.8400102441407,787.9069628320312,720.4714083007813,779.5395704296875,764.1087309179687,649.6148061914063,650.1068959570313,552.3332274707032,552.6924182177735
0.0,0.001,6,256,70,0.001,726.0269405273438,792.6446902050782,731.9195682226563,770.493905078125,745.4600164648438,620.918310625,621.3622889746093,559.2831385058594,559.7211413916016
0.0,0.0001,3,512,30,0.0001,728.1844925,774.3016608007813,731.1539819726562,757.7621407421875,773.6497232226562,640.6720102441407,640.6924318164063,552.507282553711,552.5742450292969
0.0001,0.0001,5,256,30,0.0001,731.8451026269531,771.7339928613281,735.0409544921876,767.5672878222656,761.0807271679688,651.7552629394531,651.79990875,549.5862507910156,549.625113203125
0.0001,0.001,3,256,70,0.0001,751.306264609375,822.3052034375,743.4497308886719,801.4620707714844,785.4002673046875,645.1466672949218,645.2766978222656,553.8941328027344,553.9375162011719
0.0,0.001,6,2048,50,0.0001,761.1677512402343,831.8921241601563,762.66890484375,849.6457508691407,850.6061539746094,650.505480859375,650.5070891113281,573.1013679833984,573.1504358105469
0.0,0.001,4,1024,30,0.0001,766.3397682421875,836.8336039453125,766.0064820800782,813.3708168261719,753.7205145410156,662.7579729589844,662.7783467578125,570.6749742626953,570.7306013964844
0.0001,0.0001,4,256,70,0.0001,767.4609109960937,823.854285625,769.1021295703125,813.4988793945313,810.9064916894531,652.700135625,652.7318469189453,568.5463959619141,568.6106723388672
0.0,0.001,5,512,70,0.001,768.6183722167968,842.7714794042969,771.2571257128906,824.7419544140625,762.149724140625,626.8101906982422,627.3475974072265,560.3203020751953,560.9012861132812
0.0001,0.001,4,256,70,0.001,769.9669393261719,844.9934915820312,765.3444259960937,851.2167571582031,804.9821248730469,633.249967265625,633.8479573144531,559.1148856347656,559.6988678417969
0.0,0.001,4,4096,30,0.001,771.8106220507813,844.1647889746093,773.5008573535156,831.1096362695313,758.921945078125,644.5026668359375,644.8803975878906,576.4905780615235,576.8301639453125
0.0001,0.001,4,4096,30,0.001,785.1373705566406,852.2785263867188,780.8295838867188,881.0345252539063,780.4896596484375,643.0994657226563,643.5354224707031,561.0559777636719,561.6144266455078
0.0,0.001,3,4096,50,0.001,789.2588405664062,860.5313806933593,788.8832677246094,860.1372603710937,818.4102678222656,678.5308054101563,679.3586340722657,594.5905235107422,595.0906312451172
0.0001,0.001,3,1024,30,0.0001,791.1427393945313,863.25487203125,784.0445741992188,852.6447188085938,753.2257507714844,638.7956725390625,638.8216164404297,575.6832623388672,575.7032009570313
0.0,0.001,5,2048,70,0.0001,793.4562936230469,863.2302769824219,787.8064104394531,948.2567891015625,829.9021188574219,637.5568002099609,637.713060258789,569.2307460253907,569.3468484277344
0.0001,0.0001,3,512,70,0.001,811.0536321191406,865.9901443554687,812.1619306933594,873.3032361914062,905.8493259277344,679.1189801855469,679.5521608105469,621.703724868164,621.9568941552734
0.0001,0.001,5,512,50,0.0001,818.0842825292968,890.9817918847656,813.6049854785156,916.3992240234375,768.0841907714844,634.9229337207031,634.9587726660156,561.9033354492187,561.9703695947265
0.0,0.001,5,2048,50,0.0001,822.1987221777343,895.4408313964843,823.2268938085938,904.6424169824219,780.6842391894531,649.7475354003906,649.8196342480469,569.007237578125,569.0544387646485
0.0001,0.001,5,2048,30,0.0001,822.4310744726563,897.8022520507812,817.2714849511718,854.1479047753907,779.4190966308594,671.00389609375,671.0287356933594,560.0260031445313,560.0834852441407
0.0001,0.001,3,512,50,0.0001,822.6549077050781,893.1578126269532,814.8252293457032,881.0283671972657,815.96069234375,632.3135890234375,632.3485920605468,561.9473547558594,562.0286578613282
0.0,0.001,3,1024,50,0.0001,826.9170303027344,897.1316643164063,824.9051508300781,913.1942016210937,783.3841928417969,635.3798713476563,635.4961877490234,582.2658785058594,582.3074276464844
0.0001,0.001,6,4096,30,0.0001,828.1407999121094,894.2369065234375,818.480785234375,883.8992063671875,777.3888620019532,645.7170343945312,645.8191358691406,560.7010450634766,560.7073889453125
0.0,0.001,4,2048,50,0.001,831.8030596484375,906.5256316210938,831.1068159765625,832.3311506054688,807.7469646972656,628.3876370117188,629.0090490234375,562.353440415039,562.8453957128906
