weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0001,0.0001,4,256,50,0.001,0.4963436169283731,0.5175888893150148,0.5027295478752681,0.5161144846961612,0.6079061428705851,0.5625725317569006,0.5638172456196376,0.5046846639542353,0.5071442056269873,0.5097631499880836,0.4738135493936993
0.0001,0.001,4,256,30,0.001,0.4983974141733987,0.5228138622783479,0.507670555795942,0.5216173558008104,0.5624755039101555,0.5484821640309834,0.5490893721580505,0.5131320924985976,0.5133374901044936,0.5256979806082589,0.5521859796274275
0.0,0.001,6,512,30,0.0001,0.4989206038770221,0.525794403893607,0.503412446805409,0.5123170671008882,0.6099768862837837,0.5057694173994518,0.5057595797947475,0.6082102897621336,0.6082039801847368,0.5004796797320956,0.5338167491413298
0.0,0.001,3,4096,70,0.001,0.5038686352116721,0.5790331221762157,0.5229921667348771,0.5447230126176562,0.5633523194562822,0.5665400113378253,0.567991432689485,0.5141568808328538,0.5140735805034637,0.5157861411571503,0.4726312259833018
0.0,0.0001,4,256,30,0.0001,0.5062548177582877,0.5240962931088039,0.5174560844898224,0.5158105549358186,0.6432279490289234,0.603899876276652,0.6038891162191119,0.4896580236298697,0.4896549752780369,0.4910264923459008,0.4600228936899276
0.0,0.0001,6,128,50,0.001,0.508695839416413,0.5142561779135749,0.5151872521355039,0.501729626031149,0.5940298707712264,0.5980531445571354,0.5984127933070773,0.5111796288263231,0.5141354699929556,0.4892253577709198,0.4606562540644691
0.0,0.0001,4,512,70,0.0001,0.5100995500882467,0.6025805345603398,0.5280720506395612,0.5427143971125284,0.5847338324501401,0.5928753245444525,0.5928753273827689,0.5381106010505131,0.5393283054942176,0.5184186569281987,0.5290255078247615
0.0,0.001,6,2048,30,0.0001,0.5106747604551769,0.5332422270661309,0.5188190965425401,0.5439937781719935,0.5054416344279334,0.5891286532084147,0.5891372816903251,0.4874443397635505,0.4874490130515325,0.5334500258877164,0.5063172692344302
0.0,0.0001,6,128,70,0.0001,0.5108253416560945,0.524124610991705,0.5096080402533213,0.5330982023761386,0.5603616478897276,0.5506653459299178,0.5506657390367418,0.5095145276614598,0.5095181621256328,0.4953615012623015,0.48378840514591764
0.0001,0.001,3,128,70,0.0001,0.511496140843346,0.5556520989962986,0.5381419062614441,0.5178827089922768,0.548897215298244,0.5162043528897422,0.5162168613501957,0.524332073472795,0.5243670684950692,0.6082993490355355,0.6153589572225299
0.0,0.001,4,256,30,0.0001,0.5125022573130471,0.5480940043926239,0.5176678725651332,0.5428205047334943,0.5730821490287781,0.5584889735494342,0.558485339085261,0.5002614614509401,0.5002733369668325,0.4979544991538638,0.4765254457791646
0.0001,0.0001,3,512,30,0.001,0.5135065302962348,0.5270211739199502,0.5187777536255973,0.5138001314231327,0.6241295266719091,0.6607696130162194,0.6617651823021117,0.4859018609637305,0.4856531903857276,0.4929661112172263,0.4769867332208724
0.0001,0.0001,5,128,30,0.001,0.5135753466969445,0.520701941989717,0.5232436316353934,0.5461269915103912,0.6896767857528868,0.6534010626020885,0.6536913244497209,0.5257126802489871,0.5265294668220338,0.5187882894561404,0.4888437049729483
0.0,0.001,4,128,70,0.001,0.5138634727114723,0.591685087907882,0.5356134900024959,0.5169813902605147,0.5626147942883628,0.5188317554337638,0.5186127168791634,0.5690392709913707,0.5690689015956152,0.5041380510443733,0.5517973545051756
0.0,0.0001,5,128,70,0.001,0.5139724143913814,0.5373956163724264,0.5222977045036498,0.5094150035154252,0.5676888482911246,0.5615213002477374,0.5611886140846071,0.5285367837974003,0.529258097921099,0.4973381658395131,0.46404186742646353
0.0001,0.001,6,128,50,0.0001,0.5140211780865988,0.5658014303161985,0.510264386733373,0.5351461257253375,0.4979176138128553,0.5212287391935077,0.5212285660562062,0.4905123753207071,0.4904773320470537,0.5551685009683881,0.7055709390413194
0.0,0.0001,6,1024,30,0.001,0.5142130596297128,0.5463159325576964,0.5103604438759032,0.511111109029679,0.670885987225033,0.5916513701279958,0.591384768486023,0.5147229220185962,0.5232499894641695,0.5229209618909019,0.48546314381417777
0.0,0.001,6,2048,70,0.0001,0.5148047322318667,0.5873090610617683,0.5163936742714473,0.5128811966805231,0.5152467318943569,0.5409359222366696,0.5409366105284009,0.4873562497752053,0.4871600568294525,0.5010656274500347,0.4678344570455097
0.0,0.001,4,512,50,0.001,0.5150773071107411,0.599358103105,0.5290615317367372,0.5661249104000273,0.5779418264116559,0.5424227785496485,0.5425504105431693,0.542688386780875,0.542594238406136,0.5351115720612662,0.49872506090572905
0.0,0.0001,3,256,30,0.001,0.5157380245980763,0.5277259378206163,0.5192355981894902,0.5245989050183978,0.7042204553172702,0.6433934498400915,0.6440014498574393,0.5260096320084163,0.5260945430823735,0.4907456082957132,0.48288691895348684
0.0001,0.0001,3,1024,30,0.001,0.5161085114592597,0.5289411970547268,0.5168088490054721,0.5096165310768854,0.6473460225831895,0.6578450415815625,0.6583851646809351,0.4888488181999751,0.4932460799103692,0.47306941520600093,0.4727602487518674
0.0001,0.001,3,256,50,0.0001,0.5173453149341402,0.575265897171838,0.5132636612369901,0.557633523430143,0.5639118992146992,0.5969128537745703,0.596912852355412,0.5329895842643011,0.5329916775226593,0.5770455300807953,0.5998581931704566
0.0,0.0001,6,256,50,0.001,0.5183140536149343,0.5562593865962255,0.5219780022189731,0.5280717753228688,0.5569778141521272,0.559030220622108,0.5590293705463409,0.4919743126346951,0.494807345526559,0.4925941796529861,0.4801794687906901
0.0,0.001,3,128,70,0.0001,0.5193837100551242,0.5832370760894957,0.5358406475612095,0.5673376321792603,0.5655147504238855,0.5641447121188754,0.5641724949791318,0.5414477189381918,0.5414474975495112,0.5143135672523862,0.5341886721906208
0.0001,0.001,5,1024,50,0.0001,0.5200166546163105,0.6034310999370757,0.5298801362514496,0.5515982608000437,0.535622197957266,0.5349981728054228,0.5350229967208135,0.5242471027941931,0.524246327933811,0.6396245715164003,0.6066172009422666
0.0,0.001,6,1024,50,0.001,0.5229939548742204,0.5840241398130145,0.5434802075227102,0.5364887345404852,0.8355788247925895,0.5189795054140545,0.5189684884888786,0.5447864674386524,0.5452768462044852,0.5900932436897641,0.49505598630223957
0.0,0.001,6,2048,50,0.001,0.5231499288763318,0.5796178792204175,0.5432160652819134,0.5079655037039802,0.5740615895816258,0.5645207493078142,0.5645380545230139,0.5586040530885968,0.558744150967825,0.5041976897489457,0.5005679854324886
