hyperparameter_setting_id,kFold_id,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_LLT_train,test_loss_LLT_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
3,2,0.0,0.001,8,128,70,0.001,0.5869559645652771,0.5866473168134689,0.590071052312851,0.6253616958856583,0.6333004087209702,0.6488018929958344,0.6400231719017029,0.5770232155919075,0.6174520701169968,0.6283396780490875,0.7095633447170258,0.6114341616630554,0.15633896738290787,0.1600123643875122,0.16956796497106552,0.12981752678751945,0.16984546184539795,0.21300632506608963,0.10997671633958817,0.8542501032352448,0.8706803619861603,0.14766141772270203,0.3435669392347336,0.14276832714676857,0.1745066151022911,0.17979697585105897,0.21311552524566652,0.1355351373553276,0.14182197377085687,0.05814366787672043,0.12399833798408508,0.1649972289800644,0.4158951103687286,0.21334568411111832,2.2638029269874096,2.409615233540535,2.661981239914894,2.518741689622402,2.6072342731058598,2.5005713887512684,9.317548874765635,2.5770527832210064,0.6473682671785355,0.12134817987680435,0.6391490697860718,0.10919579118490219,0.7095642238855362,0.3435669243335724,0.6287645101547241,0.14769481122493744
3,3,0.0,0.001,8,128,70,0.001,0.6262037456035614,0.623804584145546,0.6293280124664307,0.6640443205833435,0.6845767199993134,0.743822455406189,0.6955407559871674,0.6438866034150124,0.6394521147012711,0.6722501814365387,0.7326599061489105,0.6623056977987289,0.17140985280275345,0.17308364808559418,0.20546656847000122,0.17504455149173737,0.18955980986356735,0.2628573700785637,0.1065283827483654,0.8558045625686646,0.8564228117465973,0.1319313570857048,0.3699055314064026,0.15964077413082123,0.18330441117286683,0.19105609506368637,0.19176977574825288,0.1656295694410801,0.12044221833348275,0.08868903405964375,0.1320018768310547,0.15224873125553132,0.45278857946395873,0.18085208535194397,2.3714744225144386,2.4796660281717777,2.7493857257068157,2.50035834684968,2.3622494377195835,2.3880298361182213,8.769115429371595,2.5046619698405266,0.7066810429096222,0.12943629547953606,0.6944089233875275,0.10612767934799194,0.7326584905385971,0.36991100013256073,0.6720584034919739,0.13194067031145096
4,0,0.01,0.0001,6,128,70,0.0001,0.5895530208945274,0.5973585993051529,0.6103962808847427,0.6128284484148026,0.6028262376785278,0.6096718311309814,0.6129437983036041,0.5984247177839279,0.589042142033577,0.5904256701469421,0.6920346468687057,0.596269965171814,0.5102994740009308,0.5195453017950058,0.5361077934503555,0.527251809835434,0.525635614991188,0.5271003693342209,0.5288650393486023,0.8498094081878662,0.8646773397922516,0.5382335186004639,0.567740797996521,0.5008296072483063,0.5916778802871704,0.5983942329883576,0.571615144610405,0.5814028799533844,0.58450887799263,0.4830982208251953,0.5168307989835739,0.4611501693725586,0.7015775203704834,0.5868433117866516,2.127428811043501,2.451948080211878,2.694107349961996,2.5981609113514423,2.3714745193719864,2.2887329943478107,8.613122828304768,2.331180039793253,0.6088092625141144,0.526848241686821,0.6129752844572067,0.5288909822702408,0.69204281270504,0.5677347928285599,0.5901730209589005,0.5377646535634995
4,1,0.01,0.0001,6,128,70,0.0001,0.5933939069509506,0.5934676304459572,0.5929234698414803,0.5920111387968063,0.5869210958480835,0.5888805016875267,0.5904959514737129,0.6118618100881577,0.6150204539299011,0.6119700819253922,0.6833845525979996,0.5984848439693451,0.4765899032354355,0.47641563415527344,0.49915480613708496,0.46739180386066437,0.493537962436676,0.4904303401708603,0.4936419576406479,0.8597870767116547,0.8602510690689087,0.4146953225135803,0.5611721128225327,0.48474210500717163,0.5900783181190491,0.5880543291568756,0.5886772751808167,0.5783479809761047,0.575188010931015,0.49753560721874235,0.5115397274494171,0.49319714307785034,0.7026529431343078,0.5934924900531768,2.1571443676948547,2.3881122022867203,2.6357525065541267,2.3930967934429646,2.3572760075330734,2.265858881175518,8.613664086908102,2.3385236747562885,0.5881151035428047,0.48899686336517334,0.5905523374676704,0.4941054880619049,0.6833850592374802,0.5611720830202103,0.6117852479219437,0.4149026572704315
4,2,0.01,0.0001,6,128,70,0.0001,0.5840832963585854,0.5842080041766167,0.5845381990075111,0.5922223180532455,0.5877745226025581,0.5817983523011208,0.5811838358640671,0.5642628371715546,0.5601316317915916,0.5720413699746132,0.6813620924949646,0.5759273990988731,0.4740294963121414,0.47387298941612244,0.4945956766605377,0.4777119308710098,0.5017108470201492,0.4938875883817673,0.48487259447574615,0.8542706668376923,0.858456552028656,0.4261420667171478,0.5503594130277634,0.4845534712076187,0.6000571727752686,0.5917790055274963,0.6054478824138642,0.6013161599636078,0.5903590261936188,0.5036845833063126,0.5366863757371902,0.48021469712257386,0.703642201423645,0.5934823513031006,2.2267244793474674,2.338279776275158,2.7612185329198837,2.3895158767700195,2.3458011373877525,2.2437019124627113,8.516940217465162,2.4061772115528584,0.581710197031498,0.4925200641155243,0.5812411233782768,0.4849296808242798,0.6813624948263168,0.5503614097833633,0.572035625576973,0.4263049215078354
4,3,0.01,0.0001,6,128,70,0.0001,0.6008430942893028,0.5995865240693092,0.5940944030880928,0.5954987406730652,0.5935903638601303,0.5789242833852768,0.5843738913536072,0.5840032920241356,0.5746244266629219,0.6014344096183777,0.677910178899765,0.5820522606372833,0.4781085401773453,0.47806650400161743,0.5022280812263489,0.47630301117897034,0.5096093118190765,0.4992225766181946,0.49544303119182587,0.8708231151103973,0.8557142913341522,0.4404870569705963,0.5550494492053986,0.48069053888320923,0.5981439471244812,0.5911489069461823,0.5955407679080963,0.586493706703186,0.5866790592670441,0.49636285901069643,0.4984835833311081,0.4977708041667938,0.6993859529495239,0.5778568804264068,2.228933807462454,2.3260840699076653,2.6360263749957085,2.3962814286351204,2.2570266760885715,2.330159582197666,8.501982014626265,2.399044394493103,0.5777194425463676,0.49874019622802734,0.584430955350399,0.49553850293159485,0.6779116988182068,0.5550500452518463,0.6020583957433701,0.4411552846431732
5,0,0.01,0.0001,6,32,30,0.0001,0.9574043154716492,0.9574336260557175,0.9575227349996567,0.9545221626758575,0.9413592219352722,0.9256246984004974,0.9576040357351303,0.6642090976238251,0.6567081063985825,0.6596757769584656,0.9645907133817673,0.953788086771965,0.8464507162570953,0.8464913964271545,0.8465953767299652,0.8455443680286407,0.8329548835754395,0.8192468881607056,0.8473886847496033,0.8773181736469269,0.8555711507797241,0.5618409961462021,0.851586252450943,0.8455398976802826,0.9954955756664277,0.9991145372390747,0.9839951038360596,0.9749987125396729,0.9924532830715179,0.6420309603214264,0.6537235617637634,0.6441855788230896,1.002831017971039,1.0017390847206116,0.928260762244463,0.9989549517631531,1.1222625859081745,1.0491168648004532,1.0028731375932693,0.9912909902632236,3.6658169887959957,1.0177218206226826,0.9256344437599182,0.8192462921142578,0.9576051533222198,0.8473890125751495,0.9645907282829285,0.851586103439331,0.6597001254558563,0.561820924282074
5,1,0.01,0.0001,6,32,30,0.0001,0.9746664315462112,0.9746663123369217,0.9746695905923843,0.9721260368824005,0.969929575920105,0.9717002660036087,0.9045472592115402,0.6260330975055695,0.6119966208934784,0.6116193979978561,0.9734308123588562,0.9727862477302551,0.8611819446086884,0.8611820340156555,0.8612857758998871,0.8598064482212067,0.8576973378658295,0.8599735200405121,0.8026931881904602,0.8851837515830994,0.8608191311359406,0.5590345561504364,0.8605743050575256,0.8603493273258209,0.9950003921985626,1.0035504698753357,0.9949740648269654,1.0083695232868195,0.952849268913269,0.6502292633056641,0.6676917791366577,0.6636582672595978,1.0034549534320831,0.9978094398975372,0.9303081929683685,0.9916268885135651,1.1004671826958656,1.0540017485618591,0.9913693852722645,0.993731752038002,3.6611031405627728,1.018453385680914,0.9717002362012863,0.8599734604358673,0.904547929763794,0.8026859760284424,0.9734307378530502,0.8605742454528809,0.6116238906979561,0.5590213090181351
5,2,0.01,0.0001,6,32,30,0.0001,0.9774359166622162,0.9774377048015594,0.97744020819664,0.9820534437894821,0.9729071408510208,0.978834480047226,0.9722595065832138,0.7286654561758041,0.6216483116149902,0.6325228959321976,0.9797776192426682,0.9768889546394348,0.853251576423645,0.8532523512840271,0.8532786071300507,0.857191413640976,0.8491459786891937,0.854127436876297,0.8477120995521545,0.8558678328990936,0.8530160784721375,0.564783900976181,0.855411022901535,0.8521644175052643,1.0019166111946105,0.9999495208263397,0.9852290689945221,1.0039511382579804,0.988123744726181,0.6628364026546478,0.7432170748710633,0.6663733661174774,1.0073274075984955,1.0007402539253234,0.9340477883815765,1.010406780987978,1.1185245998203754,1.0613031424582005,1.0262840650975704,1.028451569378376,3.892250742763281,1.0357747003436089,0.9788347482681274,0.8541273176670074,0.9722567200660706,0.8477074205875397,0.9797776341438293,0.855411022901535,0.632535845041275,0.5647857189178467
5,3,0.01,0.0001,6,32,30,0.0001,0.9054153263568878,0.9054129123687744,0.9054172188043594,0.9053908437490463,0.9061431139707565,0.9042910188436508,0.9070147722959518,0.6697454452514648,0.677161455154419,0.6291674226522446,0.9072698503732681,0.9071521908044815,0.8530697524547577,0.8530695736408234,0.8532462120056152,0.8556647002696991,0.854407787322998,0.8433592915534973,0.8562464416027069,0.8554434478282928,0.8913659155368805,0.5554589182138443,0.8550555408000946,0.8552074134349823,0.9988613307476044,0.9957052767276764,1.0040126204490663,0.9837950110435486,1.002019965648651,0.691432100534439,0.682430899143219,0.6527694880962371,1.0015056848526,0.9885239720344543,0.9551982954144478,1.0346335917711258,1.1560581624507904,1.0878404341638088,1.0760691948235035,0.9973941072821617,3.663794834166765,1.0209414064884186,0.9042909294366837,0.8433590233325958,0.9070147573947906,0.8562464416027069,0.9072698950767517,0.8550555408000946,0.6291807740926743,0.5554672926664352
6,0,0.0,0.0001,6,32,50,0.0001,0.6633632928133011,0.6660664528608322,0.6711186021566391,0.6668978184461594,0.6666219830513,0.6708455979824066,0.6547714620828629,0.6349502950906754,0.637791246175766,0.639030709862709,0.7084642052650452,0.6358678787946701,0.5545965284109116,0.558022603392601,0.5664860755205154,0.5790558606386185,0.570540189743042,0.5554182082414627,0.5633411407470703,0.8523044884204865,0.8802018463611603,0.5588481426239014,0.5881878286600113,0.5241578221321106,0.6668923914432525,0.6905366063117981,0.6637213170528412,0.6544002950191498,0.6348966240882874,0.6090731143951416,0.6302132666110992,0.6030665874481201,0.7232711791992188,0.6420651555061341,1.5021942108869553,1.6964873373508453,1.8659777417778969,1.7032481990754604,1.6756747253239155,1.5936170481145382,6.080747462809086,1.7073097750544548,0.6650062799453735,0.5526895970106125,0.6547704488039017,0.563337042927742,0.7084662914276123,0.588168129324913,0.639031395316124,0.5588485598564148
6,1,0.0,0.0001,6,32,50,0.0001,0.6347516477108002,0.6346813142299652,0.6347271278500557,0.6556975096464157,0.6293289884924889,0.6539017856121063,0.6264174059033394,0.6119327545166016,0.5959040001034737,0.6056090444326401,0.692517913877964,0.6731090098619461,0.5465956032276154,0.5460623949766159,0.5677118748426437,0.5472120046615601,0.553682953119278,0.5563476383686066,0.5568520277738571,0.9014811217784882,0.8969692289829254,0.5180701911449432,0.5858121365308762,0.5781988948583603,0.6907342493534088,0.690974873304367,0.6620730817317962,0.6731259644031524,0.6523689150810241,0.6105690360069275,0.6334502339363098,0.6090655326843262,0.7278845310211182,0.7110360741615296,1.5833981148898602,1.613603912293911,1.8619688414037228,1.7649213448166847,1.6740591041743755,1.679962731897831,6.080355271697044,1.635889209806919,0.649770587682724,0.5522737801074982,0.6264154314994812,0.556853175163269,0.6925166845321655,0.5858108252286911,0.605606846511364,0.518070250749588
6,2,0.0,0.0001,6,32,50,0.0001,0.6463291943073273,0.6470818817615509,0.6469993144273758,0.6537409722805023,0.6210327371954918,0.6354416757822037,0.6338677257299423,0.6163841336965561,0.5836028978228569,0.5867722854018211,0.7044287621974945,0.6913383156061172,0.5463279485702515,0.5461569726467133,0.5593342036008835,0.5449399501085281,0.5420475602149963,0.5493918210268021,0.5679738521575928,0.8560522198677063,0.861644059419632,0.5296943634748459,0.5994268506765366,0.5531646311283112,0.6812512993812561,0.6837499082088471,0.6609203159809113,0.6573771953582763,0.6493081867694854,0.6080898344516754,0.6383322179317474,0.6143013715744019,0.7336201965808868,0.7085097670555115,1.5744126439094543,1.6864809095859528,1.8590815477073193,1.776115633547306,1.6779066734015942,1.6676925234496593,6.011101916432381,1.7108859829604626,0.6300374493002892,0.5454029440879822,0.633871465921402,0.5679738521575928,0.7044278085231781,0.5994286090135574,0.5867749974131584,0.5296942293643951
6,3,0.0,0.0001,6,32,50,0.0001,0.6464110463857651,0.6454944461584091,0.6438499987125397,0.6819113940000534,0.6412978619337082,0.6515503376722336,0.6562425494194031,0.6231185123324394,0.6167215183377266,0.6106258481740952,0.7380517572164536,0.6457828879356384,0.5406827032566071,0.5409284234046936,0.567534551024437,0.5744908303022385,0.5454690605401993,0.5460645109415054,0.5565159618854523,0.8601604104042053,0.8557556569576263,0.528258740901947,0.6116298735141754,0.55088771879673,0.667551589012146,0.6969255626201629,0.6673198699951172,0.6483012914657593,0.6371106386184693,0.6188990533351898,0.6215689063072205,0.6236628353595733,0.7457651197910309,0.690313595533371,1.5085474960505962,1.6981821171939373,1.8669910691678524,1.6896241083741188,1.5999451614916325,1.6840161494910717,6.085756219923496,1.7088006362318993,0.6463936120271683,0.540934607386589,0.6562421470880508,0.556514710187912,0.738050788640976,0.6116263121366501,0.6106239631772041,0.528258740901947
7,0,0.0,0.0001,5,128,30,0.0001,0.6036420613527298,0.6124980300664902,0.6231373399496078,0.6109492927789688,0.6282500624656677,0.618397444486618,0.6115589290857315,0.5940305888652802,0.6061961650848389,0.6117597371339798,0.6842511147260666,0.5949746146798134,0.4987674951553345,0.5096731036901474,0.525115892291069,0.519665315747261,0.5330317169427872,0.5414796322584152,0.5288374125957489,0.8515238165855408,0.846974641084671,0.5373175740242004,0.5616305768489838,0.49311524629592896,0.6050541937351227,0.6006155252456665,0.6101171553134919,0.5896874368190765,0.586914986371994,0.557086056470871,0.5715251266956329,0.5694488763809205,0.7002077519893646,0.6021087408065796,0.9079582653939724,0.9745257459580898,1.082783356308937,1.0216652117669582,0.9638494439423084,0.968462560325861,3.612855464220047,0.9843796156346798,0.6160110682249069,0.5400479584932327,0.6115660220384598,0.5288129299879074,0.684257909655571,0.5616277307271957,0.6117598414421082,0.5372850000858307
7,1,0.0,0.0001,5,128,30,0.0001,0.5992783606052399,0.5997570157051086,0.600742906332016,0.5992264673113823,0.5933335646986961,0.5892831683158875,0.5816571265459061,0.6010674685239792,0.5905779898166656,0.6204207688570023,0.6785751432180405,0.5904387757182121,0.48352696001529694,0.4836761951446533,0.5126628279685974,0.4694737046957016,0.5001791715621948,0.4984657019376755,0.48542793095111847,0.8606402575969696,0.8596200346946716,0.4994324743747711,0.5448426157236099,0.4683704227209091,0.607514962553978,0.604651665687561,0.6175473868846894,0.6074116706848145,0.5736950427293778,0.5430813312530518,0.5766488581895828,0.549252936244011,0.6955857694149017,0.6100377976894379,0.9053501822054386,0.9745676629245281,1.0780467875301838,1.0179545693099499,0.9609205722808838,0.9588479548692703,3.604916214942932,0.9865748025476933,0.5876968130469322,0.49482645094394684,0.5816551595926285,0.4854285418987274,0.6785289645195007,0.5448346883058548,0.6204302906990051,0.4994330555200577
7,2,0.0,0.0001,5,128,30,0.0001,0.5966986268758774,0.5970304310321808,0.5985738411545753,0.6122761368751526,0.6066828221082687,0.5947960838675499,0.5781476050615311,0.5780203565955162,0.5784066915512085,0.5628058165311813,0.6816320717334747,0.5987626016139984,0.4766334146261215,0.47656960785388947,0.5009889006614685,0.4858202636241913,0.5022066831588745,0.486736461520195,0.48255303502082825,0.8629217445850372,0.858989804983139,0.48937250673770905,0.5409821420907974,0.4738979637622833,0.6137324154376984,0.617310756444931,0.6233478605747222,0.5958702027797699,0.5838178038597107,0.5678782314062119,0.5672653555870056,0.5740403890609741,0.6841702103614807,0.600419670343399,0.9068943299353123,0.9728108905255795,1.0766891650855541,1.0163984335958958,0.9662540480494499,0.961519405245781,3.6088767759501934,0.9845979623496532,0.5942603647708893,0.48272937536239624,0.5781339481472969,0.48255251348018646,0.681641161441803,0.5409885197877884,0.5628000050783157,0.4893701374530792
