hyperparameter_setting_id,kFold_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
2,2,3,0.0,0.0001,6,8192,70,0.001,0.5008977428078651,1.38442000746727,0.5535935610532761,0.6816989332437515,0.5682907849550247,0.5622572898864746,0.6158163398504257,0.6634481102228165,0.5523539334535599,0.5823518931865692,,0.599013052880764,0.015556723345071077,1.1478034555912018,0.2747073471546173,0.18480419367551804,0.017732467968016863,0.01190933515317738,0.033970749005675316,0.8552225828170776,0.8545781672000885,0.008075695484876633,,0.03028993122279644,0.017340851295739413,0.22839519381523132,0.007546195946633816,0.01220547202974558,0.02141640391200781,0.0014927934826118872,0.23474861234426497,0.00242253903998062,,0.034196297824382785,36.69913850352168,36.83429843559861,36.9408155977726,36.79609842225909,36.77539546042681,36.89917425438762,,36.77914176136255,0.5518664792180061,0.0057631603558547795,0.5898571312427521,0.021862312220036983,0.5772979632019997,0.0014208160864654928
2,3,3,0.0,0.0001,6,8192,70,0.001,0.5892175734043121,1.0705012381076813,0.6260488405823708,0.6987434178590775,0.6017739996314049,0.6172240823507309,0.6427496671676636,0.7137256562709808,0.5616615116596222,0.5953095555305481,,0.6674777716398239,0.009783730143681169,0.7039526700973511,0.27632080018520355,0.12682289257645607,0.021932806819677353,0.01568087376654148,0.030683156102895737,0.8555167615413666,0.8559550642967224,0.013551503885537386,,0.051178812980651855,0.018128029815852643,0.18184261173009872,0.007085188711062074,0.013788900431245565,0.024171652272343636,0.002353051709360443,0.1889522835612297,0.006528081116266548,,0.05205075554549694,36.488964319229126,36.81872623041272,36.868803061544895,36.8704137802124,36.88421330600977,36.85528213903308,,36.69645272195339,0.6088234782218933,0.00811777706257999,0.6437041386961937,0.019635680597275496,0.5979895144701004,0.0047231289790943265
3,0,3,0.0,0.001,5,1024,50,0.0001,0.6217261403799057,1.13387893140316,0.7492208778858185,0.6891025602817535,0.648204006254673,0.6104365587234497,0.653751328587532,0.7031820118427277,0.6196273118257523,0.6528349220752716,,0.6633741855621338,0.5565444976091385,0.9140221476554871,0.7390620708465576,0.6142522692680359,0.6317575573921204,0.6065247356891632,0.646946907043457,0.8481812477111816,0.8477467000484467,0.6185054779052734,,0.6209912896156311,0.03980585485696793,0.18347613662481307,0.03832457829266787,0.04274877198040485,0.03404174651950598,0.0029641661909408866,0.17018944025039673,0.0032841205480508505,,0.0594087015837431,1.5792563818395138,1.6917965672910213,1.8541026338934898,1.7598897442221642,1.6726861409842968,1.6601829305291176,,1.6215531192719936,0.6104369610548019,0.6065253913402557,0.653751328587532,0.646946907043457,0.6528349220752716,0.6185055077075958
3,1,3,0.0,0.001,5,1024,50,0.0001,0.6404675245285034,1.3073786050081253,0.7460900247097015,0.6925686597824097,0.6275337338447571,0.6457503587007523,0.6348622739315033,0.7089751660823822,0.5930731892585754,0.5982167199254036,,0.6280210167169571,0.03449666127562523,1.0874895751476288,0.2925100028514862,0.18327614665031433,0.04844141937792301,0.03316348325461149,0.03795640263706446,0.861601710319519,0.859893262386322,0.005225798930041492,,0.03567432705312967,0.033938618190586564,0.24678425043821334,0.03991650454699993,0.03853446003049612,0.041521002724766734,0.00344407111115288,0.23897183388471605,0.006861735368147492,,0.04152541756629944,1.5021476186811924,1.6894452273845673,1.7667055502533913,1.733760867267847,1.5746314972639084,1.6427889913320541,,1.6839951872825623,0.6457124948501587,0.033159746788442135,0.6348622888326645,0.03795640263706446,0.5978248938918114,0.005225798930041492
3,2,3,0.0,0.001,5,1024,50,0.0001,0.5120238289237022,1.3092107325792313,0.5951957404613495,0.719747856259346,0.5785617530345917,0.5707620829343796,0.6194222718477249,0.6640513688325882,0.5658116564154625,0.5448725298047066,,0.6319961398839951,0.02392556704580784,1.1048508286476135,0.31145356595516205,0.19916893541812897,0.05062694288790226,0.03413545433431864,0.025568557903170586,0.8566808700561523,0.8538877069950104,0.004598979372531176,,0.07756545953452587,0.03478195257484913,0.24728409349918365,0.050971150398254395,0.046102671697735784,0.030669199675321578,0.002795235370285809,0.23928246200084685,0.0076364194042980674,,0.07768149971961975,1.5649373717606068,1.6752161607146263,1.8541734628379345,1.7685896903276443,1.6625757850706577,1.6548629105091095,,1.6219960376620293,0.5707608908414841,0.034135328605771065,0.6194229573011398,0.0255684619769454,0.5448709651827812,0.004598983097821474
3,3,3,0.0,0.001,5,1024,50,0.0001,0.5766614973545074,1.1990132927894592,0.6329704001545906,0.7189619392156601,0.6646665036678314,0.6487796604633331,0.6416717767715454,0.7022513002157211,0.5829697847366333,0.6061683893203735,,0.601135641336441,0.02484489604830742,0.8077347278594971,0.32112404704093933,0.16102323308587074,0.041181670501828194,0.04005052708089352,0.03193087317049503,0.8551578521728516,0.8551504015922546,0.004993099893908948,,0.05139418505132198,0.029536818712949754,0.2148538738489151,0.028083608113229276,0.052385148033499716,0.04267894551157951,0.003736445773392916,0.19641318917274475,0.008090741885825991,,0.05728323347866535,1.500903856009245,1.6862886548042297,1.7560103759169579,1.736596379429102,1.5923774279654026,1.6553170457482338,,1.700655896216631,0.6487829387187958,0.040051279589533806,0.6416732966899872,0.03193088062107563,0.6061701029539108,0.004992289643269032
4,0,3,0.0,0.001,10,128,70,0.0001,0.6032240092754364,1.8033192157745361,0.722682535648346,0.7019467800855637,0.6321172267198563,0.6993317306041718,0.6714449971914291,0.6870415657758713,0.7791769355535507,0.7040712535381317,,0.7196861058473587,0.5642523914575577,1.5049989819526672,0.6800549328327179,0.6589800715446472,0.606272429227829,0.680353432893753,0.6975579857826233,0.8483293354511261,0.8523302972316742,0.6286153495311737,,0.6615607738494873,0.1766921639442444,0.28681077659130094,0.1733289033174515,0.18277067840099334,0.25383399426937103,0.059309639036655426,0.3567891985177994,0.1676870033144951,,0.3156427711248398,2.3589279279112816,2.5249646566808224,2.8344058804214,2.627086963504553,2.4842257387936115,2.4711627066135406,,2.628673356026411,0.7000625282526016,0.6819986402988434,0.671443909406662,0.6975577473640442,0.7040712535381317,0.6286153495311737
4,1,3,0.0,0.001,10,128,70,0.0001,0.672019362449646,1.4484644383192062,0.7800555527210236,0.7174288630485535,0.7310529202222824,0.7478271573781967,0.6720041483640671,0.743745781481266,0.8626638650894165,0.708852082490921,,0.7218042016029358,0.16955818235874176,1.345201313495636,0.4134228974580765,0.2540804073214531,0.27902713418006897,0.2234557494521141,0.20299192517995834,0.8599601089954376,0.8671824038028717,0.08540867641568184,,0.1930243968963623,0.19024073481559753,0.3173866093158722,0.23183083683252334,0.2063807100057602,0.20639222860336304,0.09828502014279365,0.3682643622159958,0.0955315962433815,,0.24447252750396728,2.347801249474287,2.5854592882096767,2.7380538508296013,2.677125558257103,2.559343844652176,2.4472062960267067,,2.5277686305344105,0.7478273510932922,0.22347453236579895,0.6720036715269089,0.20299192517995834,0.708852082490921,0.08540867641568184
4,2,3,0.0,0.001,10,128,70,0.0001,0.5964856967329979,1.95183265209198,0.7187466621398926,0.7202645540237427,0.6182412654161453,0.6083381175994873,0.7092192023992538,0.6598169356584549,0.7257073819637299,0.6589363217353821,,0.6650656312704086,0.21635829657316208,1.5317926406860352,0.4527265280485153,0.30339956283569336,0.2161441594362259,0.2299475148320198,0.29894015192985535,0.8543288111686707,0.8542394042015076,0.12460463866591454,,0.20595282316207886,0.2185097098350525,0.3306553512811661,0.24994169026613236,0.2608179941773415,0.23590030670166015,0.12948421984910966,0.3937242656946182,0.1724085256457329,,0.233939491212368,2.442331850528717,2.5013381242752075,2.832046464085579,2.601194515824318,2.493470259010792,2.475112162530422,,2.6253902725875378,0.6083391308784485,0.2299475371837616,0.7086476981639862,0.29894015192985535,0.6589363664388657,0.12460462376475334
4,3,3,0.0,0.001,10,128,70,0.0001,0.6204884201288223,1.1821003258228302,0.7042585909366608,0.7188491970300674,0.6808126866817474,0.6195931136608124,0.6951616406440735,0.7327111065387726,0.7312949895858765,0.640692226588726,,0.6574554219841957,0.1805795058608055,0.9568850696086884,0.4487110823392868,0.23487506061792374,0.28245124220848083,0.22756367176771164,0.16838441789150238,0.8575300574302673,0.8555835783481598,0.15215757489204407,,0.19987791031599045,0.25045448541641235,0.3074126154184341,0.25783886313438414,0.2443449839949608,0.19978549480438232,0.10640717968344689,0.355195027589798,0.18063504844903946,,0.22744041830301284,2.3429874666035175,2.569547738879919,2.742559965699911,2.679221011698246,2.489363219588995,2.5420935787260532,,2.552475832402706,0.6195930391550064,0.22756366431713104,0.6951592564582825,0.16838441789150238,0.6406752392649651,0.15215757489204407
