dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
cpu_act,39,8,0.0001,0.001,10,64,70,0.001,FP,0.0172008128980031
cpu_act,39,8,0.0001,0.001,10,64,70,0.001,Po-MQ,0.0172442198587724
cpu_act,20,8,0.0001,0.0001,8,256,50,0.001,Po-QQ,0.0295568906272259
cpu_act,10,8,0.0001,0.001,5,1024,50,0.001,Pr-MQ,0.0175263645055775
cpu_act,16,8,0.0,0.0001,10,128,50,0.001,Pr-QQ,0.0310406999232677
cpu_act,2,8,0.0,0.0001,6,64,50,0.001,Bw-MQ,0.0163228300041876
cpu_act,16,8,0.0,0.0001,10,128,50,0.001,Bw-QQ,0.0168738848386475
cpu_act,45,8,0.0,0.001,10,64,70,0.0001,SQ,0.0194290593051566
cpu_act,16,8,0.0,0.0001,10,128,50,0.001,Bw-SQ,0.0159087652591271
fried,49,2,0.0001,0.001,6,64,70,0.001,FP,0.0437846428714691
fried,17,2,0.0001,0.001,8,8192,50,0.0001,Po-MQ,0.2287080780020914
fried,49,2,0.0001,0.001,6,64,70,0.001,Po-QQ,0.1568853634642437
fried,5,2,0.0001,0.001,8,64,30,0.0001,Pr-MQ,0.1665636485442519
fried,35,2,0.0,0.0001,10,64,50,0.0001,Pr-QQ,0.1603713611490093
fried,2,2,0.0,0.0001,10,64,50,0.0001,Bw-MQ,0.1652728231856599
fried,2,2,0.0,0.0001,10,64,50,0.0001,Bw-QQ,0.1588463849271646
fried,26,2,0.0,0.001,6,64,50,0.001,SQ,0.1368002951960079
fried,49,2,0.0001,0.001,6,64,70,0.001,Bw-SQ,0.1386798345018177
fried,21,3,0.0001,0.001,10,64,70,0.001,FP,0.0440250322746578
fried,21,3,0.0001,0.001,10,64,70,0.001,Po-MQ,0.0798618586617521
fried,21,3,0.0001,0.001,10,64,70,0.001,Po-QQ,0.0733671981317456
fried,47,3,0.0001,0.001,5,512,50,0.001,Pr-MQ,0.0775265684758778
fried,47,3,0.0001,0.001,5,512,50,0.001,Pr-QQ,0.0765800136199686
fried,18,3,0.0,0.0001,6,128,30,0.0001,Bw-MQ,0.0773484376375563
fried,18,3,0.0,0.0001,6,128,30,0.0001,Bw-QQ,0.0765021431318018
fried,22,3,0.0,0.001,5,64,30,0.001,SQ,0.0720223212905693
fried,22,3,0.0,0.001,5,64,30,0.001,Bw-SQ,0.0693437295849434
fried,42,4,0.0001,0.001,6,128,70,0.0001,FP,0.0441167166223748
fried,31,4,0.0001,0.001,5,64,50,0.0001,Po-MQ,0.0522425868257414
fried,42,4,0.0001,0.001,6,128,70,0.0001,Po-QQ,0.0512587877718032
fried,34,4,0.0001,0.0001,6,64,70,0.0001,Pr-MQ,0.0515822715358808
fried,11,4,0.0001,0.001,6,512,70,0.0001,Pr-QQ,0.0535184096283046
fried,29,4,0.0,0.0001,5,64,30,0.001,Bw-MQ,0.0517501039546914
fried,29,4,0.0,0.0001,5,64,30,0.001,Bw-QQ,0.050541994353989
fried,34,4,0.0001,0.0001,6,64,70,0.0001,SQ,0.0527515069348737
fried,29,4,0.0,0.0001,5,64,30,0.001,Bw-SQ,0.051640172061161
fried,27,5,0.0,0.0001,5,64,70,0.001,FP,0.0440699698840034
fried,27,5,0.0,0.0001,5,64,70,0.001,Po-MQ,0.0459370228491024
fried,27,5,0.0,0.0001,5,64,70,0.001,Po-QQ,0.0459418641083174
fried,37,5,0.0001,0.001,5,64,70,0.0001,Pr-MQ,0.0456237597216385
fried,37,5,0.0001,0.001,5,64,70,0.0001,Pr-QQ,0.0469490603310986
fried,35,5,0.0,0.0001,5,64,50,0.001,Bw-MQ,0.046061915627797
